Customer_ID,snapshot_date,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20,loan_id,loan_start_date,tenure,installment_num,loan_amt,due_amt,paid_amt,overdue_amt,balance
CUS_0x1013,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,36.0,62.0,102.0,-55.0,224.0,168.0,337.0,115.0,235.0,117.0,-24.0,37.0,56.0,317.0,82.0,242.0,94.0,-21.0,-42.0,53.0,CUS_0x1013_2023_12_01,2023-12-01,10.0,8.0,10000.0,1000.0,1000.0,0.0,2000.0
CUS_0x102d,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,278.0,109.0,76.0,-91.0,117.0,-37.0,55.0,90.0,82.0,125.0,221.0,249.0,87.0,116.0,-81.0,110.0,2.0,11.0,184.0,291.0,CUS_0x102d_2024_01_01,2024-01-01,10.0,7.0,10000.0,1000.0,1000.0,0.0,3000.0
CUS_0x1051,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,79.0,44.0,179.0,44.0,14.0,81.0,159.0,-6.0,45.0,131.0,140.0,73.0,145.0,223.0,67.0,136.0,126.0,125.0,122.0,276.0,CUS_0x1051_2024_01_01,2024-01-01,10.0,7.0,10000.0,1000.0,1000.0,0.0,3000.0
CUS_0x1063,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,151.0,172.0,20.0,149.0,18.0,222.0,123.0,61.0,124.0,110.0,59.0,174.0,49.0,-105.0,-65.0,-142.0,-58.0,-41.0,287.0,-234.0,CUS_0x1063_2023_12_01,2023-12-01,10.0,8.0,10000.0,1000.0,1000.0,0.0,2000.0
CUS_0x1168,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,117.0,45.0,-25.0,200.0,101.0,65.0,252.0,270.0,176.0,53.0,211.0,219.0,123.0,-11.0,124.0,214.0,-6.0,230.0,200.0,200.0,CUS_0x1168_2023_10_01,2023-10-01,10.0,10.0,10000.0,1000.0,1000.0,0.0,0.0
CUS_0x1169,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,-21.0,143.0,35.0,124.0,83.0,85.0,165.0,258.0,177.0,102.0,1.0,74.0,111.0,109.0,192.0,71.0,-20.0,86.0,60.0,173.0,,,,,,,,,
CUS_0x11c0,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,193.0,222.0,223.0,97.0,169.0,170.0,183.0,105.0,221.0,179.0,148.0,10.0,93.0,99.0,124.0,227.0,106.0,58.0,17.0,348.0,,,,,,,,,
CUS_0x11c7,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,191.0,200.0,132.0,139.0,280.0,-54.0,57.0,-7.0,211.0,89.0,307.0,-27.0,169.0,144.0,249.0,118.0,82.0,53.0,224.0,74.0,,,,,,,,,
CUS_0x122c,2024-08-01,Papadimasf,48,883-73-9594,Entrepreneur,36346.13,3188.8441666666663,8.0,6.0,11.0,3,"Credit-Builder Loan, Home Equity Loan, and Auto Loan",21.0,15,10.54,4.0,Good,1252.46,28.06670356275372,22 Years and 2 Months,NM,89.06155404212532,110.50970251432872,High_spent_Medium_value_payments,369.3131601102126,,,,,,,,,,,,,,,,,,,,,CUS_0x122c_2024_08_01,2024-08-01,10.0,0.0,10000.0,0.0,0.0,0.0,10000.0
CUS_0x1249,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,-119.0,161.0,-33.0,71.0,281.0,232.0,114.0,188.0,164.0,339.0,153.0,15.0,103.0,39.0,256.0,53.0,186.0,159.0,-20.0,73.0,CUS_0x1249_2024_05_01,2024-05-01,10.0,3.0,10000.0,1000.0,1000.0,0.0,7000.0
CUS_0x133b,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,195.0,254.0,195.0,152.0,96.0,58.0,-56.0,159.0,58.0,79.0,191.0,208.0,67.0,184.0,-103.0,32.0,22.0,30.0,18.0,77.0,CUS_0x133b_2024_05_01,2024-05-01,10.0,3.0,10000.0,1000.0,1000.0,0.0,7000.0
CUS_0x135c,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,24.0,273.0,200.0,-14.0,38.0,94.0,259.0,186.0,118.0,78.0,184.0,171.0,37.0,80.0,192.0,188.0,55.0,244.0,-34.0,126.0,,,,,,,,,
CUS_0x142f,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,250.0,160.0,-105.0,52.0,52.0,205.0,147.0,113.0,246.0,6.0,245.0,88.0,54.0,54.0,204.0,153.0,77.0,65.0,267.0,212.0,,,,,,,,,
CUS_0x1430,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,40.0,254.0,22.0,164.0,-40.0,238.0,276.0,35.0,186.0,-36.0,10.0,244.0,128.0,159.0,247.0,115.0,104.0,-26.0,36.0,-1.0,,,,,,,,,
CUS_0x144c,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,55.0,142.0,257.0,49.0,37.0,166.0,185.0,154.0,169.0,154.0,84.0,134.0,125.0,61.0,97.0,256.0,136.0,103.0,37.0,103.0,CUS_0x144c_2024_03_01,2024-03-01,10.0,5.0,10000.0,1000.0,1000.0,0.0,5000.0
CUS_0x14e5,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,81.0,-29.0,118.0,234.0,110.0,43.0,157.0,156.0,136.0,163.0,-28.0,262.0,62.0,30.0,186.0,54.0,160.0,108.0,109.0,-3.0,,,,,,,,,
CUS_0x1572,2024-08-01,Martin Pettys,39,031-16-3010,Engineer,83384.2,7080.6833333333325,3.0,9.0,24.0,3,"Student Loan, Debt Consolidation Loan, and Personal Loan",27.0,11,15.14,9.0,Standard,2613.85,28.4555658590812,12 Years and 6 Months,Yes,112.01041472425284,105.62448547960452,High_spent_Large_value_payments,730.433433129476,,,,,,,,,,,,,,,,,,,,,CUS_0x1572_2024_08_01,2024-08-01,10.0,0.0,10000.0,0.0,0.0,0.0,10000.0
CUS_0x1577,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,40.0,25.0,46.0,110.0,54.0,142.0,-60.0,-14.0,348.0,280.0,163.0,173.0,34.0,211.0,188.0,18.0,94.0,71.0,163.0,81.0,,,,,,,,,
CUS_0x15ad,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,31.0,20.0,83.0,29.0,26.0,99.0,192.0,-14.0,336.0,-7.0,104.0,248.0,236.0,80.0,73.0,83.0,161.0,293.0,156.0,98.0,,,,,,,,,
