Customer_ID,snapshot_date,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20,loan_id,loan_start_date,tenure,installment_num,loan_amt,due_amt,paid_amt,overdue_amt,balance
CUS_0x102e,2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x102e_2024_04_01,2024-04-01,10,9,10000,1000.0,0.0,7000.0,8000.0
CUS_0x109f,2025-01-01,Vellacottj,41,283-32-0255,Teacher,130435.86000000002,10623.655,4.0,846.0,9.0,2,"Home Equity Loan, and Home Equity Loan",13.0,1,12.85,0.0,Good,942.71,34.78470397665838,29 Years and 11 Months,NM,188.18613322151185,1070.730679227028,Low_spent_Medium_value_payments,81.1419359951725,,,,,,,,,,,,,,,,,,,,,CUS_0x109f_2025_01_01,2025-01-01,10,0,10000,0.0,0.0,0.0,10000.0
CUS_0x10a9,2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x10a9_2024_10_01,2024-10-01,10,3,10000,1000.0,1000.0,0.0,7000.0
CUS_0x10e7,2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x10e7_2024_11_01,2024-11-01,10,2,10000,1000.0,1000.0,0.0,8000.0
CUS_0x1190,2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x1190_2024_05_01,2024-05-01,10,8,10000,1000.0,1000.0,0.0,2000.0
CUS_0x11e2,2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x11e2_2024_12_01,2024-12-01,10,1,10000,1000.0,1000.0,0.0,9000.0
CUS_0x1286,2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x1286_2024_06_01,2024-06-01,10,7,10000,1000.0,1000.0,0.0,3000.0
CUS_0x12cb,2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x12cb_2024_03_01,2024-03-01,10,10,10000,1000.0,0.0,7000.0,7000.0
CUS_0x133f,2025-01-01,ernie Woodallm,30,630-81-5640,Manager,100914.38999999998,8546.5325,5.0,5.0,16.0,5,"Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Personal Loan",28.0,9,19.35,4.0,Standard,1410.49,39.91276190688407,8 Years and 9 Months,Yes,242.9660429948069,245.34289879474483,High_spent_Medium_value_payments,616.3443082104483,,,,,,,,,,,,,,,,,,,,,CUS_0x133f_2025_01_01,2025-01-01,10,0,10000,0.0,0.0,0.0,10000.0
CUS_0x139b,2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x139b_2024_08_01,2024-08-01,10,5,10000,1000.0,1000.0,0.0,5000.0
